,mass,eps,ctau,BRbrULobs
0,2.0,9.508853634437553e-06,0.1,0.0003416894135478
1,2.0,6.723774886221142e-06,0.2,0.0002141371760408
2,2.0,4.252488622939661e-06,0.5,0.0001493414083436
3,2.0,3.361887443110571e-06,0.8,0.0001556549132433
4,2.0,3.006963542199278e-06,1.0,0.0001720281415765
5,2.0,2.1262443114698305e-06,2.0,0.0001498566933272
6,2.0,1.3447549772442285e-06,5.0,0.0002321301173207
7,2.0,1.0631221557349153e-06,8.0,0.000307367065516
8,2.0,9.508853634437553e-07,10.0,0.0003769882939618
9,2.0,6.723774886221142e-07,20.0,0.000721320943132
10,2.0,4.2524886229396604e-07,50.0,0.0017501302573071
11,2.0,3.361887443110571e-07,80.0,0.0024993498982221
12,2.0,3.0069635421992776e-07,100.0,0.0030070700029428
13,2.0,2.1262443114698302e-07,200.0,0.0067454272328868
14,2.0,1.3447549772442286e-07,500.0,0.0173387962201976
15,2.0,1.0631221557349151e-07,800.0,0.0279875018265335
16,2.0,9.508853634437553e-08,1000.0,0.0363846924023317
17,2.0,6.723774886221143e-08,2000.0,0.1273275483391155
18,2.0,4.252488622939661e-08,5000.0,0.3420419318459245
19,2.0,3.3618874431105714e-08,8000.0,0.5384165239930016
22,5.0,3.4490330610850136e-06,0.2,0.0001979915261025
23,5.0,2.1813600396502604e-06,0.5,0.0001007257654517
24,5.0,1.7245165305425068e-06,0.8,6.859686747889757e-05
25,5.0,1.5424544762460553e-06,1.0,5.946285647497182e-05
26,5.0,1.0906800198251302e-06,2.0,3.5359412705807705e-05
27,5.0,6.898066122170029e-07,5.0,3.285625557246435e-05
28,5.0,5.453400099125651e-07,8.0,3.676660641530359e-05
29,5.0,4.877669332059618e-07,10.0,3.940235658838863e-05
30,5.0,3.449033061085014e-07,20.0,6.386151998227202e-05
31,5.0,2.1813600396502604e-07,50.0,0.0001386501657763
32,5.0,1.724516530542507e-07,80.0,0.0002105940125848
33,5.0,1.542454476246055e-07,100.0,0.0002597799013949
34,5.0,1.0906800198251302e-07,200.0,0.000822538942126
35,5.0,6.898066122170029e-08,500.0,0.0020719747313108
36,5.0,5.453400099125651e-08,800.0,0.0030775689334277
38,5.0,3.4490330610850144e-08,2000.0,0.0054756652809801
39,5.0,2.18136003965026e-08,5000.0,0.0135632121612959
40,5.0,1.7245165305425072e-08,8000.0,0.0222048030007233
41,5.0,1.542454476246055e-08,10000.0,0.0258673951562764
42,12.0,3.014548041138087e-06,0.1,0.0002700376051734
43,12.0,2.1316073621013643e-06,0.2,8.425756985457595e-05
44,12.0,1.348146868284719e-06,0.5,3.086163251300921e-05
45,12.0,1.0658036810506822e-06,0.8,2.299729147008465e-05
46,12.0,9.53283792599532e-07,1.0,2.001336830241201e-05
47,12.0,6.740734341423595e-07,2.0,1.560239671457243e-05
48,12.0,4.2632147242027293e-07,5.0,1.4711240049400784e-05
49,12.0,3.3703671707117973e-07,8.0,1.5270599478365922e-05
50,12.0,3.0145480411380867e-07,10.0,1.4408899602328814e-05
51,12.0,2.1316073621013647e-07,20.0,2.066244298470662e-05
52,12.0,1.348146868284719e-07,50.0,3.684163039300059e-05
53,12.0,1.0658036810506823e-07,80.0,5.3457667934813016e-05
54,12.0,9.53283792599532e-08,100.0,6.157059489949854e-05
55,12.0,6.740734341423595e-08,200.0,0.0001323861088114
56,12.0,4.2632147242027295e-08,500.0,0.000311330278282
57,12.0,3.3703671707117973e-08,800.0,0.0004912937206148
58,12.0,3.0145480411380864e-08,1000.0,0.0006005637427696
59,12.0,2.1316073621013647e-08,2000.0,0.0014433435806757
60,12.0,1.348146868284719e-08,5000.0,0.0034522170406781
61,12.0,1.0658036810506824e-08,8000.0,0.0055686191848552
62,12.0,9.53283792599532e-09,10000.0,0.0069955269788305
63,20.0,2.3230284961333447e-06,0.1,0.0002697127486365
64,20.0,1.6426292025054754e-06,0.2,0.0001083306972761
65,20.0,1.0388899262046533e-06,0.5,3.850441412211937e-05
66,20.0,8.213146012527377e-07,0.8,1.964111441850674e-05
67,20.0,7.346061117257023e-07,1.0,2.0871174392229567e-05
68,20.0,5.194449631023267e-07,2.0,1.3513896139370164e-05
69,20.0,3.285258405010951e-07,5.0,1.2237236549372024e-05
70,20.0,2.5972248155116333e-07,8.0,1.114650071967114e-05
71,20.0,2.3230284961333446e-07,10.0,1.1657916377654794e-05
72,20.0,1.6426292025054755e-07,20.0,1.339440988008887e-05
73,20.0,1.0388899262046533e-07,50.0,2.175886427759925e-05
74,20.0,8.213146012527377e-08,80.0,3.13287069923748e-05
75,20.0,7.346061117257022e-08,100.0,3.8139395132039645e-05
76,20.0,5.1944496310232664e-08,200.0,7.770486380851609e-05
77,20.0,3.2852584050109506e-08,500.0,0.0001871102369121
78,20.0,2.5972248155116332e-08,800.0,0.000285696080279
79,20.0,2.3230284961333447e-08,1000.0,0.0003532079759685
80,20.0,1.6426292025054753e-08,2000.0,0.0006524087098786
81,20.0,1.0388899262046532e-08,5000.0,0.0015655438202175
82,20.0,8.213146012527376e-09,8000.0,0.0025526153808111
83,20.0,7.346061117257022e-09,10000.0,0.0033077188497062
84,40.0,1.5723297892957512e-06,0.1,0.0007244450494191
85,40.0,1.111805056272641e-06,0.2,0.0002691254614605
86,40.0,7.031672583826441e-07,0.5,0.0001163050003656
87,40.0,5.559025281363205e-07,0.8,6.268329187391585e-05
88,40.0,4.972143367107209e-07,1.0,5.0408378442956784e-05
89,40.0,3.5158362919132204e-07,2.0,2.1613982703686147e-05
90,40.0,2.223610112545282e-07,5.0,1.4883695738645584e-05
91,40.0,1.7579181459566102e-07,8.0,1.206705843893064e-05
92,40.0,1.572329789295751e-07,10.0,1.1750282854468644e-05
93,40.0,1.111805056272641e-07,20.0,1.2156635093032096e-05
94,40.0,7.031672583826441e-08,50.0,1.462894626205818e-05
95,40.0,5.559025281363205e-08,80.0,1.703183006807239e-05
96,40.0,4.9721433671072084e-08,100.0,2.165984383026448e-05
97,40.0,3.5158362919132206e-08,200.0,3.395689673569154e-05
98,40.0,2.2236101125452823e-08,500.0,6.646116938538144e-05
99,40.0,1.7579181459566103e-08,800.0,0.0001133028919561
