mass,eps,ctau,BRbrULobs
0.65,1.2678891832818278e-05,0.1,0.0047289593158978
0.65,8.965330392916538e-06,0.2,0.002309932134502
0.65,5.670172803509713e-06,0.5,0.0007719617206824
0.65,4.482665196458269e-06,0.8,0.0005430308422023
0.65,4.009417639861256e-06,1.0,0.0005001104554673
0.65,2.835086401754857e-06,2.0,0.0004985565658593
0.65,1.7930660785833076e-06,5.0,0.0008201509127507
0.65,1.4175432008774285e-06,8.0,0.0011954978716364
0.65,1.2678891832818278e-06,10.0,0.0014584445822043
0.65,8.965330392916538e-07,20.0,0.0033053319306277
0.65,5.670172803509713e-07,50.0,0.007964122660437
0.65,4.482665196458269e-07,80.0,0.0126255105317866
0.65,4.0094176398612553e-07,100.0,0.0157971870799901
0.65,2.835086401754857e-07,200.0,0.0453225284460608
0.65,1.793066078583308e-07,500.0,0.1126141173702615
0.65,1.4175432008774286e-07,800.0,0.1797482664903577
0.65,1.267889183281828e-07,1000.0,0.2244293873936701
0.65,8.96533039291654e-08,2000.0,0.189285584497397
0.65,5.6701728035097134e-08,5000.0,0.4664906700535526
0.65,4.48266519645827e-08,8000.0,0.7362655824045323
0.65,4.0094176398612565e-08,10000.0,0.912109143663112
0.9,1.4934558462967934e-05,0.1,0.0012954424820936
0.9,1.056032756319157e-05,0.2,0.0006690225032925
0.9,6.678937587428216e-06,0.5,0.0002574674265406
0.9,5.280163781595785e-06,0.8,0.0001833468696445
0.9,4.722722059192211e-06,1.0,0.0001678600668803
0.9,3.339468793714108e-06,2.0,0.0001650442119512
0.9,2.1120655126383138e-06,5.0,0.0002575673534416
0.9,1.669734396857054e-06,8.0,0.000366609575981
0.9,1.4934558462967933e-06,10.0,0.0004450186989352
0.9,1.0560327563191569e-06,20.0,0.0008951961420385
0.9,6.678937587428215e-07,50.0,0.0021412364357084
0.9,5.280163781595784e-07,80.0,0.0033879880844959
0.9,4.722722059192211e-07,100.0,0.0042349979508936
0.9,3.339468793714108e-07,200.0,0.0070713124532687
0.9,2.1120655126383137e-07,500.0,0.0175812968864051
0.9,1.6697343968570538e-07,800.0,0.0280827571750046
0.9,1.4934558462967936e-07,1000.0,0.0350834075065879
0.9,1.0560327563191568e-07,2000.0,0.2604292422139895
0.9,6.678937587428217e-08,5000.0,0.6486613369553053
0.9,5.280163781595784e-08,8000.0,1.0343197598295542
0.9,4.7227220591922116e-08,10000.0,1.2900350527887028
1.5,1.090067023305474e-05,0.1,0.0002700111471533
1.5,7.70793784127135e-06,0.2,0.0001695791679074
1.5,4.874927928283775e-06,0.5,0.0001496360900556
1.5,3.853968920635675e-06,0.8,0.0001820854664215
1.5,3.4470945958851443e-06,1.0,0.0001872044542854
1.5,2.4374639641418874e-06,2.0,0.0002018324982376
1.5,1.5415875682542702e-06,5.0,0.0003156432524157
1.5,1.2187319820709435e-06,8.0,0.0004289324504814
1.5,1.090067023305474e-06,10.0,0.0005258118213195
1.5,7.707937841271351e-07,20.0,0.0009660741303531
1.5,4.874927928283775e-07,50.0,0.0022833753318576
1.5,3.8539689206356754e-07,80.0,0.0036028206797824
1.5,3.447094595885145e-07,100.0,0.0045241278381468
1.5,2.437463964141888e-07,200.0,0.0069037636348579
1.5,1.54158756825427e-07,500.0,0.0171223760664732
1.5,1.2187319820709437e-07,800.0,0.0273399248791437
1.5,1.090067023305474e-07,1000.0,0.0341506950317216
1.5,7.70793784127135e-08,2000.0,0.1412508195845283
1.5,4.8749279282837756e-08,5000.0,0.3524791893419486
1.5,3.853968920635675e-08,8000.0,0.5632717245671609
1.5,3.447094595885145e-08,10000.0,0.7035353086428149
2.0,9.508853634437552e-06,0.1,0.0003416894135478
2.0,6.723774886221142e-06,0.2,0.0002141371760408
2.0,4.252488622939661e-06,0.5,0.0001493414083436
2.0,3.361887443110571e-06,0.8,0.0001556549132433
2.0,3.006963542199278e-06,1.0,0.0001720281415765
2.0,2.1262443114698305e-06,2.0,0.0001498566933272
2.0,1.3447549772442285e-06,5.0,0.0002321301173207
2.0,1.0631221557349153e-06,8.0,0.000307367065516
2.0,9.508853634437552e-07,10.0,0.0003769882939618
2.0,6.723774886221142e-07,20.0,0.000721320943132
2.0,4.252488622939661e-07,50.0,0.0017501302573071
2.0,3.361887443110571e-07,80.0,0.0024993498982221
2.0,3.0069635421992776e-07,100.0,0.0030070700029428
2.0,2.1262443114698305e-07,200.0,0.0067454272328868
2.0,1.3447549772442288e-07,500.0,0.0173387962201976
2.0,1.0631221557349152e-07,800.0,0.0279875018265335
2.0,9.508853634437552e-08,1000.0,0.0363846924023317
2.0,6.723774886221144e-08,2000.0,0.1273275483391155
2.0,4.2524886229396615e-08,5000.0,0.3420419318459245
2.0,3.3618874431105714e-08,8000.0,0.5384165239930016
5.0,3.4490330610850136e-06,0.2,0.0001979915261025
5.0,2.1813600396502604e-06,0.5,0.0001007257654517
5.0,1.7245165305425068e-06,0.8,6.859686747889757e-05
5.0,1.5424544762460551e-06,1.0,5.946285647497182e-05
5.0,1.0906800198251302e-06,2.0,3.5359412705807705e-05
5.0,6.898066122170029e-07,5.0,3.285625557246435e-05
5.0,5.453400099125651e-07,8.0,3.676660641530359e-05
5.0,4.877669332059618e-07,10.0,3.940235658838863e-05
5.0,3.449033061085014e-07,20.0,6.386151998227202e-05
5.0,2.1813600396502607e-07,50.0,0.0001386501657763
5.0,1.724516530542507e-07,80.0,0.0002105940125848
5.0,1.542454476246055e-07,100.0,0.0002597799013949
5.0,1.0906800198251303e-07,200.0,0.000822538942126
5.0,6.89806612217003e-08,500.0,0.0020719747313108
5.0,5.4534000991256516e-08,800.0,0.0030775689334277
5.0,3.4490330610850144e-08,2000.0,0.0054756652809801
5.0,2.18136003965026e-08,5000.0,0.0135632121612959
5.0,1.7245165305425072e-08,8000.0,0.0222048030007233
5.0,1.542454476246055e-08,10000.0,0.0258673951562764
12.0,3.014548041138087e-06,0.1,0.0002700376051734
12.0,2.1316073621013643e-06,0.2,8.425756985457595e-05
12.0,1.348146868284719e-06,0.5,3.086163251300921e-05
12.0,1.0658036810506822e-06,0.8,2.299729147008465e-05
12.0,9.53283792599532e-07,1.0,2.001336830241201e-05
12.0,6.740734341423595e-07,2.0,1.560239671457243e-05
12.0,4.2632147242027293e-07,5.0,1.4711240049400784e-05
12.0,3.3703671707117973e-07,8.0,1.5270599478365922e-05
12.0,3.014548041138087e-07,10.0,1.4408899602328814e-05
12.0,2.131607362101365e-07,20.0,2.066244298470662e-05
12.0,1.348146868284719e-07,50.0,3.684163039300059e-05
12.0,1.0658036810506825e-07,80.0,5.3457667934813016e-05
12.0,9.53283792599532e-08,100.0,6.157059489949854e-05
12.0,6.740734341423596e-08,200.0,0.0001323861088114
12.0,4.2632147242027295e-08,500.0,0.000311330278282
12.0,3.3703671707117973e-08,800.0,0.0004912937206148
12.0,3.0145480411380864e-08,1000.0,0.0006005637427696
12.0,2.1316073621013647e-08,2000.0,0.0014433435806757
12.0,1.3481468682847191e-08,5000.0,0.0034522170406781
12.0,1.0658036810506824e-08,8000.0,0.0055686191848552
12.0,9.53283792599532e-09,10000.0,0.0069955269788305
20.0,2.3230284961333447e-06,0.1,0.0002697127486365
20.0,1.6426292025054754e-06,0.2,0.0001083306972761
20.0,1.0388899262046531e-06,0.5,3.850441412211937e-05
20.0,8.213146012527377e-07,0.8,1.964111441850674e-05
20.0,7.346061117257023e-07,1.0,2.0871174392229567e-05
20.0,5.194449631023267e-07,2.0,1.3513896139370164e-05
20.0,3.285258405010951e-07,5.0,1.2237236549372024e-05
20.0,2.5972248155116333e-07,8.0,1.114650071967114e-05
20.0,2.3230284961333449e-07,10.0,1.1657916377654794e-05
20.0,1.6426292025054758e-07,20.0,1.339440988008887e-05
20.0,1.0388899262046533e-07,50.0,2.175886427759925e-05
20.0,8.213146012527377e-08,80.0,3.13287069923748e-05
20.0,7.346061117257022e-08,100.0,3.8139395132039645e-05
20.0,5.194449631023266e-08,200.0,7.770486380851609e-05
20.0,3.2852584050109506e-08,500.0,0.0001871102369121
20.0,2.597224815511633e-08,800.0,0.000285696080279
20.0,2.3230284961333447e-08,1000.0,0.0003532079759685
20.0,1.6426292025054753e-08,2000.0,0.0006524087098786
20.0,1.0388899262046532e-08,5000.0,0.0015655438202175
20.0,8.213146012527376e-09,8000.0,0.0025526153808111
20.0,7.346061117257022e-09,10000.0,0.0033077188497062
40.0,1.5723297892957512e-06,0.1,0.0007244450494191
40.0,1.111805056272641e-06,0.2,0.0002691254614605
40.0,7.031672583826441e-07,0.5,0.0001163050003656
40.0,5.559025281363205e-07,0.8,6.268329187391585e-05
40.0,4.972143367107209e-07,1.0,5.0408378442956784e-05
