mass,ctau = 0.1,ctau = 0.2,ctau = 0.5,ctau = 1,ctau = 0.8,ctau = 2,ctau = 5,ctau = 8,ctau = 10,ctau = 20,ctau = 50,ctau = 80,ctau = 100,what
0.3,19391.261237216488,5620.139597756815,2360.7320346301835,1634.407184726805,1797.408889948572,2157.0067904167718,3277.2454219866663,4691.807497568419,5626.469857096639,28116.11116793253,67380.72524296181,106688.87104130632,132901.26597527115,xsecBRbrUL
0.3,171.94919857752416,167.76334039970897,196.75542946987338,190.46521780589183,198.18796179116782,140.49826767705852,133.4004500169282,130.9743388075052,130.45142365744582,156.4422884290583,156.4720347117167,156.4986941610696,156.51197328218078,nevtUL
0.3,347.06557631611,318.8869150314091,374.001714870254,351.4142642712806,368.0389402569223,247.4657807833809,236.55955034665212,232.77807287580288,231.32579837627173,315.7727695267966,315.82897707737413,315.8790842155746,315.912989172134,nevtULup
0.3,90.7208946134604,93.82779369077555,103.29322752146406,115.20392873711748,116.85632171337069,89.83796431113547,84.15752716816516,82.5392798916966,81.87851204558041,87.79809487898315,87.8135614340267,87.83019896854059,87.83708191035318,nevtULdown
0.3,522.5219337386517,509.7680293625904,597.8666695708565,578.7274667802205,602.2103729375037,426.88094462084325,405.32395608992465,397.9494373335511,396.3575920797204,475.4113245091942,475.49740795864363,475.5713956726462,475.6224337048367,nevtULupup
0.3,56.418733869080995,58.97593007624731,57.64596788445343,74.39766442729669,71.22028475787188,64.21108028683999,58.3617607336416,56.27855074839521,55.542250642424456,59.88778582841535,59.898950441456435,59.908940942473535,59.914386069512865,nevtULdowndown
0.3,112.98956391256323,111.98598300888884,147.47437812973916,168.28985591794915,168.5915569846251,166.90744605577984,162.24881034261182,160.30660330204088,159.66938256443532,157.20062414514246,157.19981161735262,157.19980190078329,157.19957108207174,nevtULobs
0.3,1.457989566708007e-07,4.2256688704938464e-08,1.7749864922031454e-08,1.2288775825013573e-08,1.35143525560043e-08,1.6218096168547156e-08,2.4640943022456134e-08,3.527674810201819e-08,4.2304284639824353e-08,2.1139933208971825e-07,5.066219943079836e-07,8.021719627165891e-07,9.992576389118132e-07,BRbrUL
0.3,2.942834240685624e-07,8.032210772898865e-08,3.373975466619382e-08,2.2673174478202585e-08,2.5096418309257317e-08,2.856564637789352e-08,4.369588259087587e-08,6.269665886675488e-08,7.501698444274399e-08,4.26701458029082e-07,1.0225846843621848e-06,1.6191147557150603e-06,2.016960498559253e-06,BRbrULup
0.3,7.692395133159473e-08,2.363360112176909e-08,9.31837480066785e-09,7.4329332710714075e-09,7.968382719917199e-09,1.0370239924477096e-08,1.5545081231723072e-08,2.223120507247414e-08,2.6552503471002285e-08,1.1864093016373475e-07,2.8432097596837824e-07,4.5019495830342205e-07,5.607997473803244e-07,BRbrULdown
0.3,4.430561666291053e-07,1.2840176451650034e-07,5.393524669108255e-08,3.7339374532351606e-08,4.1064468392564824e-08,4.927602544035889e-08,7.48690465915291e-08,1.0718406510750117e-07,1.2853538830305305e-07,6.424198819790746e-07,1.5395559056422647e-06,2.437656377413359e-06,3.036632534563385e-06,BRbrULupup
0.3,4.7838504644678136e-08,1.4855018458612689e-08,5.200406138756552e-09,4.800121673571804e-09,4.8564808309148935e-09,7.412059183334094e-09,1.0780239652455376e-08,1.5158116287310627e-08,1.801187840528008e-08,8.092593154695589e-08,1.9393961218383386e-07,3.070777874391419e-07,3.8252605666616157e-07,BRbrULdowndown
0.3,9.580597449375835e-08,2.8207335476561326e-08,1.3304081611960124e-08,1.0858026136337092e-08,1.1496186339797404e-08,1.9266579269156622e-08,2.996964171115058e-08,4.3177127025528456e-08,5.177941964058695e-08,2.1242406565434308e-07,5.089783756768579e-07,8.057656602528961e-07,1.0036476375785685e-06,BRbrULobs
0.3,-1.52788,-1.44635,-0.934574,-0.300062,-0.296646,0.6337229999999999,0.7443960000000001,0.769227,0.7753909999999999,-0.178394,-0.17836400000000002,-0.17837999999999998,-0.178345,Significance
0.3,0.0,0.00419723,0.0,0.00150091,0.0,0.633728,0.7444,0.769219,0.775389,0.0,0.0,0.0,0.0,posSignificance
0.302,12006.698461338152,4490.8293101980325,2215.687916905849,1565.4044594980164,1715.8957196843858,2059.1715346146216,3131.07346134694,4496.793278255474,5379.066034451908,22210.560987588207,53177.12607349684,84208.7284361526,104732.02797770305,xsecBRbrUL
0.302,135.88038289857022,162.9339335584849,212.25173183768757,203.83739877814256,212.97499599814515,153.88921898342224,145.1744428610745,142.7675699760522,141.79224531213683,167.49004087611482,167.60836960823133,167.7230089217421,167.49476319303542,nevtUL
0.302,274.27109221648595,304.51790340930626,379.76633294600236,367.9707703313582,383.61050521159655,266.7629000298286,252.80397788696428,248.617967616724,246.91749038440182,338.0678537058035,338.30515365777126,338.5379550514328,338.0808726866135,nevtULup
0.302,72.44084810111161,93.19371526625173,132.59211136541822,128.2980802690816,132.32664080520107,101.4864724875769,95.26042553153292,92.73181469361087,92.09727390151907,99.86575077233805,99.9373192115049,100.00666714577268,99.87047640675159,nevtULdown
0.302,412.93076507933154,495.0854320993101,644.8965796494155,619.3576329399423,647.1031846555672,467.56813784646897,441.0799869313063,433.77602599216215,430.80655472550524,508.979157816881,509.3378911866138,509.68543027707284,508.9972666021801,nevtULupup
0.302,45.65207902609657,57.919080491989966,93.68439159776548,93.95630099930008,95.6732049444185,76.34646623012964,70.88485792368127,69.15191828431286,68.67987008909094,71.31353740414133,71.36359170871086,71.41208181603635,71.31536006359522,nevtULdowndown
0.302,78.40287334705705,133.19680516061078,216.62379005897753,209.604514448022,219.14688038707413,160.82408296356243,156.00902750418086,153.7351726636955,153.03223974979412,152.2536579576601,152.2723879740997,152.27499056957606,152.27850192738433,nevtULobs
0.302,9.0275928280738e-08,3.3765633911263414e-08,1.6659307645908636e-08,1.1769958342090348e-08,1.2901471576574328e-08,1.5482492741463317e-08,2.3541905724413082e-08,3.381047577635695e-08,4.0444105522194805e-08,1.6699669915479854e-07,3.998280155902017e-07,6.331483341064105e-07,7.87458856975211e-07,BRbrUL
0.302,1.8221966204568072e-07,6.310680544794746e-08,2.980726762193918e-08,2.1247330783596103e-08,2.3238127115663067e-08,2.6838492590234336e-08,4.099542107330028e-08,5.8878159606431234e-08,7.042950067120122e-08,3.370720752344598e-07,8.070234115819602e-07,1.2779686201111307e-06,1.5894513505724476e-06,BRbrULup
0.302,4.8128101115621726e-08,1.93130111314796e-08,1.0406948181446443e-08,7.4081746980141415e-09,8.016003884262219e-09,1.0210355111457751e-08,1.5447704933001883e-08,2.1960917139108463e-08,2.6269362303840235e-08,9.95715963191607e-08,2.3839943146716352e-07,3.7752157625805717e-07,4.695304479829878e-07,BRbrULdown
0.302,2.743420892553596e-07,1.0259909087056114e-07,5.061692749055915e-08,3.5762885428561965e-08,3.919982862221648e-08,4.7041114044040427e-08,7.152680089290276e-08,1.0272762800146057e-07,1.2288109071561572e-07,5.07479960297327e-07,1.2150202210906816e-06,1.9240441915086878e-06,2.392996641334549e-06,BRbrULupup
0.302,3.0330234019894285e-08,1.2002867822911456e-08,7.3531418930445256e-09,5.425215173307271e-09,5.7956340294563775e-09,7.681068349379898e-09,1.1494892693507033e-08,1.6376683153131768e-08,1.9589900047207062e-08,7.110348346235423e-08,1.7023710286650244e-07,2.69578043749446e-07,3.3528159836097717e-07,BRbrULdowndown
0.302,5.208913914060792e-08,2.760305642279669e-08,1.7002463682015766e-08,1.2102962548361534e-08,1.3275348287521014e-08,1.6180195816083008e-08,2.529887317132983e-08,3.6407843407237483e-08,4.3650144894127824e-08,1.518051949845745e-07,3.63244191535144e-07,5.748326197163661e-07,7.159212191693262e-07,BRbrULobs
0.302,-125.98100000000001,-0.0183839,0.371817,0.628134,0.5857289999999999,0.793493,0.923059,0.962357,0.9732790000000001,0.35741799999999996,0.360165,0.36089699999999997,0.361145,Significance
0.302,0.0,0.0,0.371817,0.628134,0.58573,0.793493,0.923059,0.962357,0.9732790000000001,0.35741799999999996,0.3601,0.360898,0.361145,posSignificance
0.304,8348.757529960374,3650.9312423852116,1396.0353800212713,869.5139990303218,957.7944340921904,1324.9986424893618,2142.5387285674988,3170.8950488705073,3819.158592206641,10868.762652468036,25885.167444418854,40802.61337984317,50989.3221121443,xsecBRbrUL
0.304,114.93518215690194,155.94066784462197,151.11360463163152,125.11700594975927,132.15124998655463,111.73894243426193,111.46850358306044,112.82666769299782,112.79777329303109,103.44743780385294,103.06358720686643,102.68535035995238,103.04347875171301,nevtUL
0.304,231.99646782388714,303.8703154488405,304.10747022462584,252.54632820392587,266.7317508919797,225.53779614025515,224.99024812972198,227.73572687862983,227.6774047876411,208.79753547044967,208.02611893751916,207.26304503368104,207.98955005400703,nevtULup
0.304,62.491295574850085,85.20812437520078,83.38822416685078,70.01729759104174,73.61530006740128,55.69856154829737,54.0526924038219,54.0433026656735,53.72691899787034,46.5018420685966,46.621750130714865,46.45191863568932,46.61351748923492,nevtULdown
0.304,349.282026013033,473.85499408528085,459.2065083772321,380.21857863015083,401.5731713405429,339.55253574372244,338.73080521702997,342.8665083239092,342.77870175982923,314.35638892136006,313.19274283661616,312.04611040812955,313.13988742768237,nevtULupup
0.304,39.50784750382425,54.21599556636707,53.71788612582436,44.968703849913474,47.48735685110535,36.22385454699508,35.705410742212976,35.25983177743782,35.25080189378558,28.689009215667237,28.58473501225913,28.47904845554451,28.57974147299154,nevtULdowndown
0.304,61.289194856068875,105.45595555521051,150.47485569260397,134.74415943503485,137.59457148994966,121.7146699467073,125.9640850428776,126.24086440166448,126.1965527688046,98.39256559797394,97.55605651638358,97.34571214123486,97.27442127855555,nevtULobs
0.304,6.277261300722085e-08,2.745061084500159e-08,1.0496506616701292e-08,6.5376992408294874e-09,7.201461910467596e-09,9.962395808190692e-09,1.610931374862781e-08,2.3841316156921105e-08,2.871547813689205e-08,8.17200199433687e-08,1.946253191309688e-07,3.067865667657381e-07,3.8337836174544576e-07,BRbrUL
0.304,1.2670641156569927e-07,5.3491022528166434e-08,2.1123618096347786e-08,1.319622321234308e-08,1.4535303635465848e-08,2.0108448727963707e-08,3.251535977427536e-08,4.812266085455445e-08,5.796094504861786e-08,1.6494307761516992e-07,3.928366058569922e-07,6.192267716904448e-07,7.73835413224071e-07,BRbrULup
0.304,3.4130036076202035e-08,1.4999391084990776e-08,5.792231936072172e-09,3.658591650520283e-09,4.0115986758882e-09,4.965959977806855e-09,7.811639637221827e-09,1.1419848617016836e-08,1.3677523259594643e-08,3.673490172327456e-08,8.804053151596633e-08,1.387814774743409e-07,1.734278984628951e-07,BRbrULdown
0.304,1.9076269805152548e-07,8.34138343729312e-08,3.1896957030200874e-08,1.9867440832605587e-08,2.188336393313591e-08,3.0273749554627446e-08,4.8953028363751295e-08,7.24508575119183e-08,8.726284241982237e-08,2.4833104538256733e-07,5.914333003151945e-07,9.322805497486828e-07,1.1650524467292644e-06,BRbrULupup
0.304,2.1577473281595432e-08,9.543772105359754e-09,3.731299696869882e-09,2.3497354239656106e-09,2.5877802262696064e-09,3.229638377039439e-09,5.16010931950238e-09,7.450727866333323e-09,8.973968204667136e-09,2.26633588519144e-08,5.3979424982254696e-08,8.508506295985769e-08,1.0633234240300458e-07,BRbrULdowndown
0.304,3.3473500785617624e-08,1.856366550974537e-08,1.0452138457518951e-08,7.040743839397554e-09,7.498090754138137e-09,1.085180950576624e-08,1.8204200305806584e-08,2.667585972061709e-08,3.212647064024658e-08,7.772683977143576e-08,1.8422489598144915e-07,2.908336652939197e-07,3.619142979379371e-07,BRbrULobs
0.304,-4.644769999999999,-0.015206899999999999,-0.00259181,-0.00290873,0.00203807,-0.219032,-0.23502199999999998,-0.218704,-0.21392600000000003,-0.360252,-0.359561,-0.359383,-0.359323,Significance
0.304,0.0,0.0,0.0005911730000000001,0.0,0.00323899,0.0,0.00193837,0.00193242,0.0,0.0,0.00016266299999999998,0.0,0.000538491,posSignificance
0.306,6226.988882853766,3030.4834031188757,1275.339777832783,825.2845736876317,902.768707869045,1174.7324379859344,1770.0186979422165,2506.52911666736,2991.0243249560344,8075.347789560673,19258.50923198906,30410.090585144502,37886.14171425336,xsecBRbrUL
0.306,100.97955354958134,148.9290654015857,153.92673975323552,130.04188774640534,137.06759112250066,110.34164009607395,102.10710747685071,98.79527970872104,97.83468478332705,92.82390254049248,92.6575041700221,92.49289728600357,92.53679585709499,nevtUL
0.306,203.81713088447498,300.60974860373204,310.696477329957,262.4861268405094,276.67247124963205,222.70731973410267,206.09975809864122,199.40950250892777,197.47291195517573,187.3583632644191,187.02287145690602,186.69099063417983,186.78289251847,nevtULup
0.306,55.45348282927231,80.62419999943349,86.13563658878233,72.46643353695072,77.07240288534466,57.410757141133544,54.518876275071456,53.52547199360536,53.00377398293184,48.71657765351182,48.3864899376189,48.54360395991839,48.32366356113807,nevtULdown
0.306,306.8611553066255,452.5871749020173,467.77210707755995,395.1822979111513,416.53827826021836,335.29789265457083,310.2932535387322,300.221501658456,297.30886968789224,282.0749252958318,281.5720712320633,281.0746234502609,281.2107673099743,nevtULupup
0.306,35.499923047875036,51.777174168719384,55.32149878675815,47.246243171409006,49.79204734619393,37.49420804829907,35.89726416638152,35.117288449953044,34.77661137202537,30.094480012565274,30.04178663202125,29.986712098519014,30.002187187302862,nevtULdowndown
0.306,97.84694339946545,169.44930011034182,185.14573484024982,171.77262014575692,174.90198922346656,144.0216580742006,139.87492636889587,137.4575593896916,136.70072366420962,114.57157508205957,113.62923303384821,113.39112052810638,113.31227698767526,nevtULobs
0.306,4.6819465284614786e-08,2.2785589497134404e-08,9.589020885960775e-09,6.205147170583697e-09,6.787734645631917e-09,8.832574721698755e-09,1.3308411262723433e-08,1.8846083583965116e-08,2.2488904698917556e-08,6.071690067338853e-08,1.4480082129315086e-07,2.286472976326655e-07,2.8485820837784465e-07,BRbrUL
0.306,9.450040873046646e-08,4.599216621719619e-08,1.935514917737853e-08,1.2524926202687205e-08,1.370111857379424e-08,1.7827168790567103e-08,2.6862579987846403e-08,3.8039146837785744e-08,4.539238315545234e-08,1.2255269193936247e-07,2.92270611324377e-07,4.61509929447631e-07,5.749781978685557e-07,BRbrULup
0.306,2.5711169469186672e-08,1.2335200786819652e-08,5.365906012168359e-09,3.4578464894403307e-09,3.8167083480689916e-09,4.595588771717059e-09,7.105867994690596e-09,1.021046270668764e-08,1.2183785581003473e-08,3.186592596928756e-08,7.561614728585371e-08,1.2000233735207363e-07,1.4875587701931554e-07,BRbrULdown
0.306,1.4227707197201117e-07,6.924414352012267e-08,2.9140333328877114e-08,1.8856726553601782e-08,2.062742388207494e-08,2.6839765009120965e-08,4.044292637589588e-08,5.726993769986087e-08,6.834131321996509e-08,1.8450759721257504e-07,4.400276861850489e-07,6.948312245674062e-07,8.656577592786454e-07,BRbrULupup
0.306,1.6459643128946795e-08,7.921713822273874e-09,3.4463083422627157e-09,2.2544266098896413e-09,2.4657557784512948e-09,3.0013183955682715e-09,4.678768858878313e-09,6.698936986881226e-09,7.993973718307049e-09,1.968505421265935e-08,4.694790148295054e-08,7.412872650117174e-08,9.235644275807886e-08,BRbrULdowndown
0.306,4.536702142822984e-08,2.592510859099147e-08,1.153383954714985e-08,8.196392765073919e-09,8.661334762796301e-09,1.1528576658600771e-08,1.823098402706647e-08,2.6221259367286347e-08,3.1422900309496234e-08,7.494223743950533e-08,1.7757445998135747e-07,2.803088025680725e-07,3.48811863550692e-07,BRbrULobs
0.306,-0.393594,0.0913889,0.388171,0.19748800000000002,0.260515,0.058725900000000004,0.12315899999999999,0.14645,0.153255,-0.278762,-0.281308,-0.281915,-0.282114,Significance
0.306,0.0,0.0913946,0.388146,0.197495,0.26050999999999996,0.058782100000000004,0.12316600000000001,0.146448,0.153265,0.0,0.0,0.0,0.0,posSignificance
0.308,6050.396925662712,2857.0963402208117,1208.9684159844865,788.1192745098929,861.2339616911728,1120.1822073063886,1575.0032621405692,2262.908529704521,2713.707778654679,7103.104033682707,16865.348133342563,26652.084307976435,33220.592508327296,xsecBRbrUL
0.308,112.93747638947201,158.78244235035,160.96756360559348,134.96646899273128,142.69435827288572,115.96907152270857,99.77279968754169,97.8671383588876,97.37904533291905,95.69005600998834,95.13626343341127,95.05208148589459,95.14746315175701,nevtUL
0.308,227.9580736663949,320.4966402629006,324.89518134042737,272.4253187795283,288.02503957836836,234.07022511437083,201.38630425198463,197.5384173746851,196.5528613782817,193.14567735049718,192.0278742393413,191.8523558461414,192.04820011128206,nevtULup
