mass,stheta_sq,ctau,BRbrULobs,BRULobs,theta_sq_inflaton,BRULobs_inflaton,BRtheory,excl
0.3,0.0006412668514264,0.1,9.580597449375836e-08,3.787260251316478e-07,0.0009757958109723,2.47273618898372e-07,0.0046536156801198734,True
0.3,0.0003206334257132,0.2,2.8207335476561333e-08,1.1150507158913105e-07,0.0004878979054861,7.28026614167383e-08,0.0023268078400596986,True
0.3,0.0001282533702852,0.5,1.3304081611960124e-08,5.2591730041355224e-08,0.0001951591621944,3.433761228035929e-08,0.0009307231360236887,True
0.3,6.412668514264389e-05,1.0,1.0858026136337092e-08,4.292234488631391e-08,9.757958109723826e-05,2.8024383980354996e-08,0.0004653615680120268,True
0.3,8.015835642830485e-05,0.8,1.1496186339797404e-08,4.544502552842223e-08,0.0001219744763715,2.9671464799483165e-08,0.0005817019600148054,True
0.3,3.2063342571321944e-05,2.0,1.9266579269156625e-08,7.616179495117886e-08,4.878979054861913e-05,4.9726719078329364e-08,0.0002326807840060134,True
0.3,1.282533702852878e-05,5.0,2.996964171115058e-08,1.1847156025351169e-07,1.951591621944765e-05,7.73511443535977e-08,9.307231360240535e-05,True
0.3,8.015835642830486e-06,8.0,4.3177127025528456e-08,1.7068144008125478e-07,1.2197447637154784e-05,1.1143944320437645e-07,5.817019600150336e-05,True
0.3,6.41266851426439e-06,10.0,5.177941964058695e-08,2.0468675244653614e-07,9.757958109723829e-06,1.3364181666791062e-07,4.6536156801202695e-05,True
0.3,3.206334257132195e-06,20.0,2.124240656543431e-07,8.397234353355991e-07,4.8789790548619135e-06,5.482629630668476e-07,2.3268078400601344e-05,True
0.3,1.282533702852878e-06,50.0,5.089783756768579e-07,2.0120181243041086e-06,1.9515916219447654e-06,1.3136646807222989e-06,9.307231360240537e-06,True
0.3,8.015835642830487e-07,80.0,8.057656602528961e-07,3.185233773860713e-06,1.2197447637154784e-06,2.0796677018065323e-06,5.817019600150336e-06,True
0.3,6.41266851426439e-07,100.0,1.0036476375785683e-06,3.967471573890868e-06,9.75795810972383e-07,2.5903977779488333e-06,4.653615680120269e-06,True
0.302,0.0005939056042882,0.1,5.208913914060793e-08,2.1575755409178403e-07,0.0009257292929911,1.376196766984896e-07,0.00441446341849579,True
0.302,0.0002969528021441,0.2,2.760305642279669e-08,1.1433415943319454e-07,0.0004628646464955,7.292736573244727e-08,0.002207231709247656,True
0.302,0.0001187811208576,0.5,1.7002463682015766e-08,7.042562111966774e-08,0.0001851458585982,4.492056489320419e-08,0.0008828926836990625,True
0.302,5.939056042882045e-05,1.0,1.2102962548361534e-08,5.0131479225449775e-08,9.257292929911148e-05,3.1976066805468864e-08,0.000441446341849586,True
0.302,7.423820053602555e-05,0.8,1.3275348287521014e-08,5.4987598633573e-08,0.0001157161616238,3.507351377907927e-08,0.0005518079273115564,True
0.302,2.9695280214410225e-05,2.0,1.6180195816083008e-08,6.701971911228331e-08,4.628646464955574e-05,4.27481304906359e-08,0.000220723170924793,True
0.302,1.187811208576409e-05,5.0,2.5298873171329844e-08,1.0479004043415017e-07,1.8514585859822297e-05,6.683970601388348e-08,8.82892683699172e-05,True
0.302,7.423820053602556e-06,8.0,3.6407843407237483e-08,1.508043206876189e-07,1.1571616162388937e-05,9.618964186503893e-08,5.5180792731198254e-05,True
0.302,5.939056042882045e-06,10.0,4.3650144894127824e-08,1.808025368337672e-07,9.257292929911149e-06,1.1532382618105197e-07,4.41446341849586e-05,True
0.302,2.9695280214410225e-06,20.0,1.518051949845745e-07,6.287897651732219e-07,4.628646464955574e-06,4.010698237598959e-07,2.20723170924793e-05,True
0.302,1.187811208576409e-06,50.0,3.63244191535144e-07,1.5045877047826265e-06,1.8514585859822296e-06,9.596923471269202e-07,8.82892683699172e-06,True
0.302,7.423820053602556e-07,80.0,5.748326197163661e-07,2.381004602655989e-06,1.1571616162388936e-06,1.5187096693529432e-06,5.518079273119825e-06,True
0.302,5.939056042882045e-07,100.0,7.159212191693262e-07,2.9654053362913585e-06,9.257292929911148e-07,1.891466212519198e-06,4.41446341849586e-06,True
0.304,0.0005505073550519,0.1,3.3473500785617624e-08,1.4495578781520477e-07,0.0008752515713677,9.152866660228393e-08,0.004173389455063565,True
0.304,0.0002752536775259,0.2,1.8563665509745373e-08,8.03892839275202e-08,0.0004376257856838,5.07597804675347e-08,0.0020866947275315446,True
0.304,0.0001101014710103,0.5,1.0452138457518953e-08,4.5262608597970215e-08,0.0001750503142735,2.8579929607189744e-08,0.0008346778910125224,True
0.304,5.505073550519455e-05,1.0,7.040743839397554e-09,3.0489687247873286e-08,8.752515713677062e-05,1.9251941995418413e-08,0.0004173389455063596,True
0.304,6.881341938149318e-05,0.8,7.498090754138137e-09,3.2470211566368206e-08,0.0001094064464209,2.0502493993220202e-08,0.0005216736818826477,True
0.304,2.752536775259728e-05,2.0,1.085180950576624e-08,4.6993369656894384e-08,4.376257856838531e-05,2.9672774910700064e-08,0.0002086694727531798,True
0.304,1.101014710103891e-05,5.0,1.8204200305806584e-08,7.883263282721198e-08,1.7505031427354123e-05,4.97768724945338e-08,8.346778910127191e-05,True
0.304,6.881341938149318e-06,8.0,2.6675859720617093e-08,1.1551884836352029e-07,1.0940644642096328e-05,7.294145558108841e-08,5.216736818829495e-05,True
0.304,5.505073550519455e-06,10.0,3.2126470640246586e-08,1.3912252235594977e-07,8.752515713677062e-06,8.784539863851403e-08,4.1733894550635953e-05,True
0.304,2.7525367752597274e-06,20.0,7.772683977143576e-08,3.365932761444442e-07,4.376257856838531e-06,2.1253331251643745e-07,2.0866947275317977e-05,True
0.304,1.101014710103891e-06,50.0,1.8422489598144925e-07,7.977792673432914e-07,1.7505031427354124e-06,5.037375442777542e-07,8.34677891012719e-06,True
0.304,6.881341938149319e-07,80.0,2.908336652939197e-07,1.2594446976390804e-06,1.0940644642096327e-06,7.952445057328724e-07,5.216736818829494e-06,True
0.304,5.505073550519455e-07,100.0,3.619142979379371e-07,1.567256813536554e-06,8.752515713677062e-07,9.896046824237147e-07,4.173389455063595e-06,True
0.306,0.0005276932914001,0.1,4.5367021428229843e-08,2.0088635759362122e-07,0.0008247738497442,1.2854345487467946e-07,0.003932355252676788,True
0.306,0.0002638466457,0.2,2.592510859099147e-08,1.1479705898925669e-07,0.0004123869248721,7.345650918606729e-08,0.001966177626338394,True
0.306,0.00010553865828,0.5,1.153383954714985e-08,5.107214321666788e-08,0.0001649547699488,3.268011733382821e-08,0.0007864710505351667,True
0.306,5.276932914001049e-05,1.0,8.196392765073919e-09,3.629384156478564e-08,8.247738497442977e-05,2.3223756163917464e-08,0.0003932355252677253,True
0.306,6.596166142501311e-05,0.8,8.661334762796301e-09,3.835261689264157e-08,0.000103096731218,2.4541128317126123e-08,0.0004915444065844792,True
0.306,2.6384664570005245e-05,2.0,1.1528576658600773e-08,5.104883900850605e-08,4.123869248721488e-05,3.266520540319179e-08,0.00019661776263386264,True
0.306,1.05538658280021e-05,5.0,1.8230984027066472e-08,8.07272741574776e-08,1.6495476994885952e-05,5.1655885681443124e-08,7.864710505354505e-05,True
0.306,6.596166142501311e-06,8.0,2.6221259367286347e-08,1.1610842237339506e-07,1.030967312180372e-05,7.429562629691805e-08,4.915444065846566e-05,True
0.306,5.2769329140010495e-06,10.0,3.1422900309496234e-08,1.39141424529895e-07,8.247738497442976e-06,8.903401723992978e-08,3.932355252677253e-05,True
0.306,2.6384664570005247e-06,20.0,7.494223743950534e-08,3.318461877193148e-07,4.123869248721488e-06,2.1234222157944409e-07,1.9661776263386263e-05,True
0.306,1.05538658280021e-06,50.0,1.775744599813575e-07,7.863043537857637e-07,1.6495476994885952e-06,5.031415743178058e-07,7.864710505354505e-06,True
0.306,6.596166142501312e-07,80.0,2.803088025680725e-07,1.2412147100821189e-06,1.030967312180372e-06,7.94230275198615e-07,4.915444065846566e-06,True
0.306,5.27693291400105e-07,100.0,3.48811863550692e-07,1.5445480560145254e-06,8.247738497442976e-07,9.88327658076774e-07,3.9323552526772525e-06,True
0.308,0.0005048792277482,0.1,5.786105230683965e-08,2.621155267511271e-07,0.0007742961281208,1.7010613638930234e-07,0.0036913612247940694,True
0.308,0.0002524396138741,0.2,2.8570379389683323e-08,1.29426267664357e-07,0.0003871480640604,8.399427005549105e-08,0.0018456806123970347,True
0.308,0.0001009758455496,0.5,1.1795492901457086e-08,5.343459394341382e-08,0.0001548592256241,3.467765697785492e-08,0.0007382722449585277,True
0.308,5.048792277482643e-05,1.0,8.166416863492985e-09,3.699456841006538e-08,7.742961281208891e-05,2.400850944477252e-08,0.0003691361224794494,True
0.308,6.310990346853303e-05,0.8,8.793030576797975e-09,3.983318224414185e-08,9.678701601511112e-05,2.5850695743314242e-08,0.00046142015309931164,True
0.308,2.5243961387413216e-05,2.0,1.0676503598765182e-08,4.8365476483389794e-08,3.871480640604445e-05,3.138793203589463e-08,0.00018456806123972466,True
0.308,1.0097584554965288e-05,5.0,1.6117693372244356e-08,7.30145325714995e-08,1.5485922562417782e-05,4.738452616659132e-08,7.382722449588988e-05,True
0.308,6.310990346853304e-06,8.0,2.290549553960536e-08,1.037638582343851e-07,9.678701601511114e-06,6.734003605157528e-08,4.614201530993117e-05,True
0.308,5.048792277482643e-06,10.0,2.735053311210897e-08,1.239002594627397e-07,7.742961281208891e-06,8.040803494578986e-08,3.691361224794494e-05,True
0.308,2.5243961387413216e-06,20.0,7.103565888849172e-08,3.2179762388229857e-07,3.871480640604445e-06,2.0883825989388977e-07,1.8456806123972466e-05,True
0.308,1.0097584554965286e-06,50.0,1.6764701333803212e-07,7.594553409834392e-07,1.548592256241778e-06,4.928666966668258e-07,7.382722449588987e-06,True
0.308,6.310990346853304e-07,80.0,2.6436651497029936e-07,1.1976029740926186e-06,9.678701601511114e-07,7.772130761435601e-07,4.614201530993117e-06,True
0.308,5.048792277482643e-07,100.0,3.288580353713114e-07,1.4897550896685414e-06,7.74296128120889e-07,9.66812174810337e-07,3.6913612247944935e-06,True
0.31,0.0004820651640964,0.1,6.814622387503152e-08,3.159913771403196e-07,0.0007303637711769,2.073257752137094e-07,0.003481609225717608,True
0.31,0.0002410325820482,0.2,2.650017191660244e-08,1.2288026162298566e-07,0.0003651818855884,8.062323007040766e-08,0.0017408046128585654,True
0.31,9.641303281928477e-05,0.5,1.0967893979484482e-08,5.085769578754548e-08,0.0001460727542353,3.3368351061217845e-08,0.0006963218451431401,True
0.31,4.8206516409642376e-05,1.0,8.496098052315304e-09,3.9396074664292e-08,7.303637711769364e-05,2.584824242379405e-08,0.00034816092257177806,True
0.31,6.025814551205296e-05,0.8,8.875390190905282e-09,4.115483748923346e-08,9.129547139711705e-05,2.7002188045342213e-08,0.0004352011532147226,True
0.31,2.4103258204821188e-05,2.0,1.1578030869101932e-08,5.36868767022193e-08,3.651818855884682e-05,3.5224610974582855e-08,0.00017408046128588903,True
0.31,9.641303281928476e-06,5.0,1.7637016201002374e-08,8.178215491765265e-08,1.4607275423538728e-05,5.3658263780472434e-08,6.963218451435562e-05,True
0.31,6.025814551205297e-06,8.0,2.51337783464478e-08,1.1654434803310538e-07,9.129547139711705e-06,7.646616031553989e-08,4.352011532147226e-05,True
0.31,4.820651640964238e-06,10.0,3.0037186556437767e-08,1.392812602910358e-07,7.303637711769363e-06,9.138412422487862e-08,3.481609225717781e-05,True
0.31,2.410325820482119e-06,20.0,7.347440634631886e-08,3.406979510488686e-07,3.6518188558846817e-06,2.2353605802212325e-07,1.7408046128588904e-05,True
0.31,9.641303281928475e-07,50.0,1.7403836459992565e-07,8.070090957061721e-07,1.4607275423538728e-06,5.294884559381478e-07,6.963218451435562e-06,True
0.31,6.025814551205297e-07,80.0,2.746943289421855e-07,1.2737468690012134e-06,9.129547139711704e-07,8.357207700779878e-07,4.352011532147226e-06,True
0.31,4.820651640964238e-07,100.0,3.418227357356216e-07,1.585018668107685e-06,7.303637711769364e-07,1.0399499728997404e-06,3.481609225717781e-06,True
0.312,0.0004592511004445,0.1,5.097728072561061e-08,2.4209114901363866e-07,0.0006933752950837,1.5998062309370677e-07,0.0033049908205497786,True
0.312,0.0002296255502222,0.2,1.8168438148533985e-08,8.628192803842686e-08,0.0003466876475418,5.70175186724247e-08,0.0016524954102746512,True
0.312,9.185022008891664e-05,0.5,8.388080633732511e-09,3.983500197999292e-08,0.0001386750590167,2.6324086872499773e-08,0.000660998164109765,True
0.312,4.5925110044458326e-05,1.0,7.113276113766159e-09,3.3780954243166776e-08,6.933752950837832e-05,2.2323402282738383e-08,0.00033049908205501756,True
0.312,5.74063875555729e-05,0.8,7.176211047997585e-09,3.4079832298730254e-08,8.66719118854729e-05,2.25209092868271e-08,0.0004131238525687719,True
0.312,2.2962555022229163e-05,2.0,1.1436283950596916e-08,5.4310922093875177e-08,3.466876475418916e-05,3.589018100319901e-08,0.00016524954102750878,True
0.312,9.185022008891663e-06,5.0,1.7760159976718118e-08,8.434301465730499e-08,1.3867505901675664e-05,5.57362303142984e-08,6.60998164110035e-05,True
0.312,5.740638755557291e-06,8.0,2.5378462454360016e-08,1.205223395270053e-07,8.66719118854729e-06,7.964454319292502e-08,4.1312385256877195e-05,True
0.312,4.592511004445833e-06,10.0,3.034791458516123e-08,1.4412227187313244e-07,6.933752950837833e-06,9.52400405792836e-08,3.304990820550176e-05,True
0.312,2.2962555022229163e-06,20.0,6.034425263968103e-08,2.865749065067396e-07,3.4668764754189163e-06,1.8937673802930365e-07,1.652495410275088e-05,True
