mass,ctau = 1,ctau = 10,ctau = 100,what
0.3,190.46521780589183,130.45142365744582,156.51197328218078,nevtUL
0.3,1634.407184726805,5626.469857096639,132901.26597527115,xsecBRbrUL
0.3,351.4142642712806,231.32579837627173,315.912989172134,nevtULup
0.3,115.20392873711748,81.87851204558041,87.83708191035318,nevtULdown
0.3,578.7274667802205,396.3575920797204,475.6224337048367,nevtULupup
0.3,74.39766442729669,55.542250642424456,59.914386069512865,nevtULdowndown
0.3,168.28985591794915,159.66938256443532,157.19957108207174,nevtULobs
0.3,1.2288775825013573e-08,4.2304284639824353e-08,9.992576389118132e-07,BRbrUL
0.3,2.2673174478202585e-08,7.501698444274399e-08,2.016960498559253e-06,BRbrULup
0.3,7.4329332710714075e-09,2.6552503471002285e-08,5.607997473803244e-07,BRbrULdown
0.3,3.7339374532351606e-08,1.2853538830305305e-07,3.036632534563385e-06,BRbrULupup
0.3,4.800121673571804e-09,1.801187840528008e-08,3.8252605666616157e-07,BRbrULdowndown
0.3,1.0858026136337092e-08,5.177941964058695e-08,1.0036476375785685e-06,BRbrULobs
0.3,-0.300062,0.7753909999999999,-0.178345,Significance
0.3,0.00150091,0.775389,0.0,posSignificance
0.302,1565.4044594980164,5379.066034451908,104732.02797770305,xsecBRbrUL
0.302,203.83739877814256,141.79224531213683,167.49476319303542,nevtUL
0.302,367.9707703313582,246.91749038440182,338.0808726866135,nevtULup
0.302,128.2980802690816,92.09727390151907,99.87047640675159,nevtULdown
0.302,619.3576329399423,430.80655472550524,508.9972666021801,nevtULupup
0.302,93.95630099930008,68.67987008909094,71.31536006359522,nevtULdowndown
0.302,209.604514448022,153.03223974979412,152.27850192738433,nevtULobs
0.302,1.1769958342090348e-08,4.0444105522194805e-08,7.87458856975211e-07,BRbrUL
0.302,2.1247330783596103e-08,7.042950067120122e-08,1.5894513505724476e-06,BRbrULup
0.302,7.4081746980141415e-09,2.6269362303840235e-08,4.695304479829878e-07,BRbrULdown
0.302,3.5762885428561965e-08,1.2288109071561572e-07,2.392996641334549e-06,BRbrULupup
0.302,5.425215173307271e-09,1.9589900047207062e-08,3.3528159836097717e-07,BRbrULdowndown
0.302,1.2102962548361534e-08,4.3650144894127824e-08,7.159212191693262e-07,BRbrULobs
0.302,0.628134,0.9732790000000001,0.361145,Significance
0.302,0.628134,0.9732790000000001,0.361145,posSignificance
