mass,ctau = 1,ctau = 10,ctau = 100,ctau = 1000,what
0.61,36.368870696870616,145.36998734892495,1709.3372507035547,26309.38476209384,xsecBRbrUL
0.61,28.21497122880588,24.374696845660342,30.578582048284307,47.839969612173405,nevtUL
0.61,50.030948982753394,42.833467269210885,56.66410711684033,96.27435443119141,nevtULup
0.61,16.86598280152543,14.777816204519734,17.996222882756825,24.72349078920825,nevtULdown
0.61,85.50891280538585,73.87408120915521,92.70454281004132,145.08808965859762,nevtULupup
0.61,11.132988647538397,10.091874484775555,12.063468072407991,15.323366890013087,nevtULdowndown
0.61,27.07197239433751,23.03671348650164,28.83894716961781,55.875029443388854,nevtULobs
0.61,0.0007481659531105418,0.002990493602209493,0.035163806542665606,0.5412262066189921,BRbrUL
0.61,0.0013266521637452955,0.005255171403365801,0.06516082719019503,1.0891771894066395,BRbrULup
0.61,0.00044722902587851845,0.0018130672596287953,0.02069473656262811,0.2797033786329544,BRbrULdown
0.61,0.0022674082043072593,0.00906349599438877,0.10660548627961827,1.6414198635180013,BRbrULupup
0.61,0.0002952093409881149,0.00123815636650249,0.013872371742481713,0.17335729520201235,BRbrULdowndown
0.61,0.000717857475903193,0.002826338507245132,0.03316331534161155,0.6321289598535756,BRbrULobs
0.61,-0.116745,-0.188814,-0.26254299999999997,0.232706,Significance
0.61,0.0,0.0,0.0,0.232706,posSignificance
0.615,35.0277189492478,138.7060725699607,1616.380124752663,24770.700433681377,xsecBRbrUL
0.615,28.386000000000006,24.257710743412467,30.227931126056514,46.91990829748492,nevtUL
0.615,50.336999999999996,42.62949167250694,56.01375409596202,94.4254564106934,nevtULup
0.615,16.974,14.70882460734001,17.789428409271792,24.24728114590143,nevtULdown
0.615,86.04899999999998,73.5201233228802,91.64060127946064,142.30151134609432,nevtULupup
0.615,11.196,10.043880233606842,11.92560569132771,15.02942996474235,nevtULdowndown
0.615,27.765,22.691729416667307,28.22733278699323,52.0801121839879,nevtULobs
0.615,0.0007205763124013395,0.0028534061959601628,0.03325152949356135,0.5095730041674237,BRbrUL
0.615,0.0012778006706596994,0.005014457339178075,0.06161662168012089,1.0255063413168772,BRbrULup
0.615,0.00043088361610302034,0.0017301818672758695,0.01956884515045767,0.2633372558631244,BRbrULdown
0.615,0.002184346900085354,0.008648086278060317,0.1008071026609228,1.545463562597819,BRbrULupup
0.615,0.00028420955378163166,0.0011814499065142994,0.013118483951815831,0.1632269127531135,BRbrULdowndown
0.615,0.000704812277665863,0.0026692016406434176,0.031050818025789437,0.5656153259019421,BRbrULobs
0.615,-0.00499071,0.194868,0.239409,0.419267,Significance
0.615,0.00137367,0.194854,0.239409,0.419267,posSignificance
0.62,33.333093686898806,125.34557331255108,1444.1237280318603,21876.515795960568,xsecBRbrUL
0.62,27.59400000000001,22.382743951549305,27.65107714351224,42.256672846381534,nevtUL
