,mass,ctau = 1,ctau = 10,ctau = 100,ctau = 1000,what
0,1.51,0.4191203783060931,7.822040871539778,34636.08094768014,3359757.0159466695,xsecBRbrUL
1,1.51,1.89,1.935,2.841,2.841,nevtUL
2,1.51,3.726,3.7679999999999993,5.718,5.718,nevtULup
3,1.51,1.017,1.005,1.245,1.245,nevtULdown
4,1.51,5.715,5.861999999999999,8.619,8.619,nevtULupup
5,1.51,0.5579999999999999,0.5670000000000001,0.6449999999999999,0.6449999999999999,nevtULdowndown
6,1.51,1.908,1.938,2.838,2.838,nevtULobs
7,1.51,8.62197784245224e-06,0.00016091191592673581,0.712519691090236,69.1155859912873,BRbrUL
8,1.51,1.6997613460834415e-05,0.0003133416533395041,1.434068142785628,139.10697666250644,BRbrULup
9,1.51,4.639445219986205e-06,8.357440594644418e-05,0.312244637594982,30.288245180975967,BRbrULdown
10,1.51,2.607121871408177e-05,0.0004874757887144834,2.1616357682177907,209.6822371203468,BRbrULupup
11,1.51,2.545536315390661e-06,4.7150933504113285e-05,0.16176529417571353,15.691500515445373,BRbrULdowndown
12,1.51,8.704091917142261e-06,0.0001611613917653819,0.7117672943731397,69.04260226795965,BRbrULobs
13,1.51,-31.5077,-22.4946,-35.6994,-35.6994,Significance
14,1.51,0.0,0.0,0.0,0.0,posSignificance
15,1.52,0.4156254641419747,7.651965762814053,17226.604146100683,1671009.033274426,xsecBRbrUL
16,1.52,1.89,1.935,2.826,2.826,nevtUL
17,1.52,3.726,3.768,5.691,5.691,nevtULup
18,1.52,1.017,1.005,1.239,1.239,nevtULdown
19,1.52,5.715,5.862,8.574,8.574,nevtULupup
20,1.52,0.5579999999999999,0.5670000000000001,0.642,0.642,nevtULdowndown
21,1.52,1.908,1.9380000000000002,2.8289999999999997,2.8289999999999997,nevtULobs
22,1.52,8.550081857327189e-06,0.00015741319838665258,0.35437885375237715,34.37533368732452,BRbrUL
23,1.52,1.6855875661587884e-05,0.0003065286467808304,0.7136482861658805,69.22506157627878,BRbrULup
24,1.52,4.600758332752248e-06,8.175724257291259e-05,0.15536992208039466,15.071138867160325,BRbrULdown
25,1.52,2.585381894953697e-05,0.0004768765730969289,1.0751749087306728,104.29374063521601,BRbrULupup
26,1.52,2.524309881687074e-06,4.6125727899344704e-05,0.08050644872930861,7.809258396058861,BRbrULdowndown
27,1.52,8.631511208349351e-06,0.0001576572498570195,0.3547550521109253,34.41182554898834,BRbrULobs
28,1.52,-31.4758,-22.4483,-35.6962,-35.6962,Significance
29,1.52,0.0,0.0,0.0,0.0,posSignificance
30,1.53,0.4121883539675943,7.489129173318901,11435.636722606108,1109275.635676866,xsecBRbrUL
31,1.53,1.89,1.9350000000000005,2.814,2.814,nevtUL
32,1.53,3.726,3.753,5.6610000000000005,5.6610000000000005,nevtULup
33,1.53,1.017,1.005,1.233,1.2329999999999999,nevtULdown
34,1.53,5.715,5.862,8.529000000000002,8.529,nevtULupup
35,1.53,0.5579999999999999,0.5670000000000001,0.6360000000000001,0.636,nevtULdowndown
36,1.53,1.908,1.9380000000000004,2.8200000000000003,2.82,nevtULobs
37,1.53,8.479374992904737e-06,0.00015406338878721967,0.2352493735454563,22.819577493779484,BRbrUL
38,1.53,1.671648212886934e-05,0.0002988113168570726,0.4732575350535992,45.90676197309368,BRbrULup
39,1.53,4.562711305705882e-06,8.001741898250946e-05,0.10307835024219887,9.998770095888448,BRbrULdown
40,1.53,2.5640014859497657e-05,0.00046672846773678644,0.7130212889016336,69.16424180683907,BRbrULupup
41,1.53,2.503434521714732e-06,4.5144155784162046e-05,0.05316936800814152,5.157516448487472,BRbrULdowndown
42,1.53,8.560130945218115e-06,0.00015430224675433166,0.2357509713568539,22.86823330933124,BRbrULobs
43,1.53,-31.444000000000006,-22.4019,-35.69300000000001,-35.69300000000001,Significance
44,1.53,0.0,0.0,0.0,0.0,posSignificance
45,1.54,0.4088076254749716,7.333078617221148,8576.727541954584,831956.7267576493,xsecBRbrUL
46,1.54,1.89,1.935,2.814,2.814,nevtUL
47,1.54,3.726,3.753,5.6610000000000005,5.6610000000000005,nevtULup
48,1.54,1.017,1.005,1.2329999999999999,1.2329999999999999,nevtULdown
49,1.54,5.715,5.862,8.529,8.529,nevtULupup
50,1.54,0.5579999999999999,0.5670000000000001,0.636,0.636,nevtULdowndown
51,1.54,1.908,1.9380000000000002,2.8110000000000004,2.8110000000000004,nevtULobs
52,1.54,8.409827990030417e-06,0.00015085317876971832,0.17643703015909226,17.114683120334607,BRbrUL
53,1.54,1.657937518034568e-05,0.0002925850025440583,0.35494315129019943,34.430071479820256,BRbrULup
54,1.54,4.525288394635414e-06,7.835010060132658e-05,0.07730876268164914,7.4990775719163345,BRbrULdown
55,1.54,2.5429717969853878e-05,0.00045700327335818536,0.5347659666762251,51.8731813551293,BRbrULupup
56,1.54,2.482901597056599e-06,4.420348959298722e-05,0.03987702600610613,3.8681373363656038,BRbrULdowndown
57,1.54,8.489921589935468e-06,0.00015108705966703572,0.17624893097981814,17.09643718950269,BRbrULobs
58,1.54,-31.4122,-22.3557,-35.69,-35.69,Significance
59,1.54,0.0,0.0,0.0,0.0,posSignificance
60,1.55,0.40548190263904105,7.183398552575599,6824.807502467911,662017.5915265561,xsecBRbrUL
61,1.55,1.89,1.935,2.799,2.799,nevtUL
62,1.55,3.726,3.753,5.631,5.631,nevtULup
63,1.55,1.017,1.005,1.2329999999999999,1.2329999999999999,nevtULdown
64,1.55,5.715,5.862,8.484,8.484,nevtULupup
65,1.55,0.5579999999999999,0.5670000000000001,0.633,0.633,nevtULdowndown
66,1.55,1.908,1.9380000000000002,2.805,2.805,nevtULobs
67,1.55,8.341412541663483e-06,0.00014777401997040978,0.1403972274101774,13.61876277294003,BRbrUL
68,1.55,1.6444499010708006e-05,0.00028661286664028314,0.2824497275979668,27.3980897372009,BRbrULup
69,1.55,4.488474367657016e-06,7.675084758153066e-05,0.0618470101453193,5.999262057533067,BRbrULdown
70,1.55,2.522284268550624e-05,0.0004476750930576445,0.4255555831896911,41.279593914120476,BRbrULupup
71,1.55,2.4627027503958847e-06,4.3301224456445656e-05,0.03175114146146563,3.0799131244269518,BRbrULdowndown
72,1.55,8.4208545658698e-06,0.00014800312697811586,0.14069818609701595,13.647956262271093,BRbrULobs
73,1.55,-31.3804,-22.3095,-35.687,-35.687,Significance
74,1.55,0.0,0.0,0.0,0.0,posSignificance
75,1.56,0.4022098538502448,7.0397066863218,5656.860809476798,548724.8347058271,xsecBRbrUL
76,1.56,1.89,1.935,2.7840000000000003,2.784,nevtUL
77,1.56,3.726,3.753,5.601000000000001,5.601,nevtULup
78,1.56,1.017,1.005,1.227,1.227,nevtULdown
79,1.56,5.715,5.862,8.442,8.442,nevtULupup
80,1.56,0.5579999999999999,0.5670000000000001,0.642,0.642,nevtULdowndown
81,1.56,1.908,1.9380000000000002,2.7960000000000003,2.7960000000000003,nevtULobs
82,1.56,8.274101254461361e-06,0.00014481804800839734,0.11637069224423426,11.288149208010314,BRbrUL
