mass,bin,nevt_ASYM,nevtup_ASYM,nevtdown_ASYM,nevtupup_ASYM,nevtdowndown_ASYM,nevtobs_ASYM,nevtobs_TOY,nevtobserr_TOY
0.21,Lxy3.1_11.0_pt0_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.886816,0.048440832
0.21,Lxy0.2_11.0_pt0_Inf_2isomu,1.92,3.7119999999999997,0.9984,5.8368,0.5632,1.92,3.0419072,0.079872896
0.21,Lxy0.2_11.0_pt0_Inf_012isomu,1.92,3.7056,0.9984,5.8368,0.5568,1.92,2.6161343999999995,1.87499904
0.21,Lxy0.2_11.0_pt25_Inf_2isomu,1.92,3.7119999999999997,0.9984,5.8368,0.5632,1.92,3.7500032,1.24999936
0.21,Lxy0.2_11.0_pt25_Inf_012isomu,1.92,3.7056,0.9984,5.8368,0.5568,1.92,1.87499904,1.87499904
0.21,Lxy1.0_11.0_pt0_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.9166,0.0404648
0.21,Lxy1.0_11.0_pt0_Inf_012isomu,1.924875,3.7125,0.9999,5.848875,0.56385,1.922175,2.88774,0.04310505
0.21,Lxy1.0_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.91508,0.0742456
0.21,Lxy1.0_11.0_pt25_Inf_012isomu,1.924875,3.7125,0.9999,5.848875,0.56385,1.922175,2.985975,0.077257575
0.21,Lxy2.4_11.0_pt0_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.9199,0.0464974
0.21,Lxy2.4_11.0_pt0_Inf_012isomu,1.918875,3.70875,1.0018125,5.8310625,0.569625,1.9216875,2.9377875,0.0363384375
0.21,Lxy2.4_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.90232,0.0817198
0.21,Lxy2.4_11.0_pt25_Inf_012isomu,1.918875,3.70875,1.0018125,5.8310625,0.569625,1.9216875,2.8620375,0.035536125
0.21,Lxy3.1_11.0_pt0_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8411968,0.075063552
0.21,Lxy3.1_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9842752,0.035787264
0.21,Lxy3.1_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9989056,0.05044358400000001
0.21,Lxy7.0_11.0_pt0_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9335295999999995,0.042339456
0.21,Lxy7.0_11.0_pt0_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8210368,0.07510656
0.21,Lxy7.0_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9783424,0.046193664
0.21,Lxy7.0_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8924992,0.039468479999999986
0.212,Lxy3.1_11.0_pt0_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9785152000000004,0.051654912000000004
0.212,Lxy3.1_11.0_pt0_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8766016,0.0365952
0.212,Lxy0.2_11.0_pt0_Inf_2isomu,1.92,3.7119999999999997,0.9984,5.8368,0.5632,1.92,2.8507008,0.12009216
0.212,Lxy0.2_11.0_pt0_Inf_012isomu,1.92,3.7056,0.9984,5.8368,0.5568,1.92,2.8527167999999996,1.87499904
0.212,Lxy0.2_11.0_pt25_Inf_2isomu,1.92,3.7119999999999997,0.9984,5.8368,0.5632,1.92,2.9914624,0.068882944
0.212,Lxy0.2_11.0_pt25_Inf_012isomu,1.92,3.7056,0.9984,5.8368,0.5568,1.92,3.0828672000000004,1.87499904
0.212,Lxy1.0_11.0_pt0_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.95614,0.01818764
0.212,Lxy1.0_11.0_pt0_Inf_012isomu,1.924875,3.7125,0.9999,5.848875,0.56385,1.922175,3.037455,0.064631475
0.212,Lxy1.0_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.85288,0.0318274
0.212,Lxy1.0_11.0_pt25_Inf_012isomu,1.924875,3.7125,0.9999,5.848875,0.56385,1.922175,2.856015,0.034810425
0.212,Lxy2.4_11.0_pt0_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,3.0045599999999997,0.05152519999999999
